topo,guest,T,n_frames,diff,family
shp,naproxen,1200,400,3.0928625485100945,Pharmaceutical
shp,naproxen,1500,400,2.0137470115808185,Pharmaceutical
shp,oxypurinol,300,1200,-11.747668100517192,Pharmaceutical
shp,oxypurinol,600,400,-3.461737732977628,Pharmaceutical
shp,oxypurinol,900,400,1.7247851618399608,Pharmaceutical
shp,oxypurinol,1200,400,0.7834895363623389,Pharmaceutical
shp,oxypurinol,1500,400,-0.7714664545068075,Pharmaceutical
shp,sulfadiazine,300,1200,0.4939190024943336,Pharmaceutical
shp,sulfadiazine,600,400,0.4313814057666647,Pharmaceutical
shp,sulfadiazine,900,400,-1.3125616211819278,Pharmaceutical
shp,sulfadiazine,1200,400,1.3002185092988654,Pharmaceutical
shp,sulfadiazine,1500,400,-3.258399554591658,Pharmaceutical
shp,sulfamethazine,300,1200,1.0344117601422909,Pharmaceutical
shp,sulfamethazine,600,400,0.5492088646686994,Pharmaceutical
shp,sulfamethazine,900,400,0.7022333312391353,Pharmaceutical
shp,sulfamethazine,1200,400,-0.5404111814195787,Pharmaceutical
shp,sulfamethazine,1500,400,1.7864442453554688,Pharmaceutical
shp,sulfamethoxazole,300,1200,0.1769388537526701,Pharmaceutical
shp,sulfamethoxazole,600,400,-1.5226643519223018,Pharmaceutical
shp,sulfamethoxazole,900,400,3.7901134542904273,Pharmaceutical
shp,sulfamethoxazole,1200,400,-0.3538777074339911,Pharmaceutical
shp,sulfamethoxazole,1500,400,8.492519045003196,Pharmaceutical
shp,triclosan,300,1200,0.7667852334902534,Pharmaceutical
shp,triclosan,600,400,-0.1586532268989238,Pharmaceutical
shp,triclosan,900,400,-0.6540970774751251,Pharmaceutical
shp,triclosan,1200,400,-0.7280239716739487,Pharmaceutical
shp,triclosan,1500,400,2.6112615574989064,Pharmaceutical
shp,trimethoprim,300,1200,-0.1014933865006071,Pharmaceutical
shp,trimethoprim,600,400,0.592055213289008,Pharmaceutical
shp,trimethoprim,900,400,-0.574020590220357,Pharmaceutical
shp,trimethoprim,1200,400,2.6608975589448605,Pharmaceutical
shp,trimethoprim,1500,400,0.2095065967418392,Pharmaceutical
sqc,17-alpha-ethinylestradiol,300,1200,0.9719933901715194,Pharmaceutical
sqc,17-alpha-ethinylestradiol,600,400,-0.6272020203716053,Pharmaceutical
sqc,17-alpha-ethinylestradiol,900,400,-0.1528989648562344,Pharmaceutical
sqc,17-alpha-ethinylestradiol,1200,400,1.6135465527783026,Pharmaceutical
sqc,17-alpha-ethinylestradiol,1500,400,-0.1891376384075762,Pharmaceutical
sqc,17-beta-estradiol,300,1200,0.9208325406436906,Pharmaceutical
sqc,17-beta-estradiol,600,400,-1.389764114929669,Pharmaceutical
sqc,17-beta-estradiol,900,400,-0.0897024829875725,Pharmaceutical
sqc,17-beta-estradiol,1200,400,1.6509586692407865,Pharmaceutical
sqc,17-beta-estradiol,1500,400,2.091940970340346,Pharmaceutical
sqc,acetaminophen,300,1200,-1.290297584009771,Pharmaceutical
sqc,acetaminophen,600,400,2.3599942035055186,Pharmaceutical
sqc,acetaminophen,900,400,1.0989385620648413,Pharmaceutical
sqc,acetaminophen,1200,400,-0.1728725921772529,Pharmaceutical
sqc,acetaminophen,1500,400,-6.87688288557305,Pharmaceutical
sqc,atenolol,300,1200,-4.981647318149804,Pharmaceutical
sqc,atenolol,600,400,-1.75028714796116,Pharmaceutical
sqc,atenolol,900,400,1.066835176045991,Pharmaceutical
sqc,atenolol,1200,400,4.251715717580694,Pharmaceutical
sqc,atenolol,1500,400,4.454376185739768,Pharmaceutical
sqc,benzafibrate,300,1200,-1.027164025517635,Pharmaceutical
sqc,benzafibrate,600,400,-0.8632208934750096,Pharmaceutical
sqc,benzafibrate,900,400,-0.0923129225095422,Pharmaceutical
sqc,benzafibrate,1200,400,-4.50137664726384,Pharmaceutical
sqc,benzafibrate,1500,400,-10.828441984112388,Pharmaceutical
sqc,carbamazepine,300,1200,-0.2347387537780072,Pharmaceutical
sqc,carbamazepine,600,400,-0.929818476749464,Pharmaceutical
sqc,carbamazepine,900,400,0.4625686279734715,Pharmaceutical
sqc,carbamazepine,1200,400,1.2481289457590492,Pharmaceutical
sqc,carbamazepine,1500,400,0.5406559101047037,Pharmaceutical
sqc,ciprofloxacin,300,1200,-1.8486241617411,Pharmaceutical
sqc,ciprofloxacin,600,400,0.018273076582453,Pharmaceutical
sqc,ciprofloxacin,900,400,-0.2967743428641469,Pharmaceutical
sqc,ciprofloxacin,1200,400,-1.8506008166646808,Pharmaceutical
sqc,ciprofloxacin,1500,400,2.1328169392083893,Pharmaceutical
sqc,clofibric-acid,300,1200,-0.6711151351320801,Pharmaceutical
sqc,clofibric-acid,600,400,-1.7025211248104988,Pharmaceutical
sqc,clofibric-acid,900,400,0.7112067170736118,Pharmaceutical
sqc,clofibric-acid,1200,400,-1.8844173035507052,Pharmaceutical
sqc,clofibric-acid,1500,400,1.577998139653829,Pharmaceutical
sqc,diclofenac,300,1200,-3.021320190448048,Pharmaceutical
sqc,diclofenac,600,400,-2.092775557995342,Pharmaceutical
sqc,diclofenac,900,400,-3.3839140047601117,Pharmaceutical
sqc,diclofenac,1200,400,3.2114492938674037,Pharmaceutical
sqc,diclofenac,1500,400,-0.3462346416534103,Pharmaceutical
sqc,estrone,300,1200,-0.0714858822335813,Pharmaceutical
sqc,estrone,600,400,-2.231153952845645,Pharmaceutical
sqc,estrone,900,400,0.358822482292922,Pharmaceutical
sqc,estrone,1200,400,-1.643918012630035,Pharmaceutical
sqc,estrone,1500,400,1.9251552203619229,Pharmaceutical
sqc,gemfibrozil,300,1200,-0.8756330314578449,Pharmaceutical
sqc,gemfibrozil,600,400,-1.9957437640120648,Pharmaceutical
sqc,gemfibrozil,900,400,3.196596143990682,Pharmaceutical
sqc,gemfibrozil,1200,400,2.2461451548505487,Pharmaceutical
sqc,gemfibrozil,1500,400,0.3793106675267772,Pharmaceutical
sqc,ibuprofen,300,1200,-2.167003656779098,Pharmaceutical
sqc,ibuprofen,600,400,0.9644193504906796,Pharmaceutical
sqc,ibuprofen,900,400,0.8350143415461986,Pharmaceutical
sqc,ibuprofen,1200,400,2.779396452902482,Pharmaceutical
sqc,ibuprofen,1500,400,-0.5444523425237442,Pharmaceutical
sqc,ketoprofen,300,1200,1.1900592165059931,Pharmaceutical
sqc,ketoprofen,600,400,-1.513904319344391,Pharmaceutical
sqc,ketoprofen,900,400,3.9017536695366495,Pharmaceutical
sqc,ketoprofen,1200,400,2.233814593167448,Pharmaceutical
sqc,ketoprofen,1500,400,3.568521024621933,Pharmaceutical
sqc,naproxen,300,1200,-0.5824292175561894,Pharmaceutical
sqc,naproxen,600,400,5.685882404855096,Pharmaceutical
sqc,naproxen,900,400,0.2836091935973783,Pharmaceutical
sqc,naproxen,1200,400,-0.4859308066430046,Pharmaceutical
sqc,naproxen,1500,400,3.285539340451635,Pharmaceutical
sqc,oxypurinol,300,1200,-3.4232588503749817,Pharmaceutical
sqc,oxypurinol,600,400,-0.9990390496745007,Pharmaceutical
sqc,oxypurinol,900,400,-4.769950713299156,Pharmaceutical
sqc,oxypurinol,1200,400,-0.2017317540757304,Pharmaceutical
sqc,oxypurinol,1500,400,4.522235063111033,Pharmaceutical
sqc,sulfadiazine,300,1200,0.2405934173490003,Pharmaceutical
sqc,sulfadiazine,1200,400,2.231932064672197,Pharmaceutical
sqc,sulfadiazine,1500,400,7.674227831771693,Pharmaceutical
sqc,sulfamethazine,300,1200,-0.1624559344179417,Pharmaceutical
sqc,sulfamethazine,600,400,3.1243635253590973,Pharmaceutical
sqc,sulfamethazine,900,400,0.3103285481155389,Pharmaceutical
sqc,sulfamethazine,1200,400,1.459775349881216,Pharmaceutical
sqc,sulfamethazine,1500,400,1.0096000345906333,Pharmaceutical
sqc,sulfamethoxazole,300,1200,-0.1714795210522481,Pharmaceutical
sqc,sulfamethoxazole,600,400,-0.2013175977625536,Pharmaceutical
sqc,sulfamethoxazole,900,400,0.6012921531798732,Pharmaceutical
sqc,sulfamethoxazole,1200,400,1.041584193781237,Pharmaceutical
sqc,sulfamethoxazole,1500,400,-3.1472864474582174,Pharmaceutical
sqc,triclosan,300,1200,0.005860938670974,Pharmaceutical
sqc,triclosan,600,400,-1.5868083729602134,Pharmaceutical
sqc,triclosan,900,400,-1.7231787375297287,Pharmaceutical
sqc,triclosan,1200,400,-1.6257767129331064,Pharmaceutical
sqc,triclosan,1500,400,3.133713416906893,Pharmaceutical
sqc,trimethoprim,300,1200,1.2706690869021884,Pharmaceutical
sqc,trimethoprim,600,400,1.0478592887653946,Pharmaceutical
sqc,trimethoprim,900,400,0.5903734877790363,Pharmaceutical
sqc,trimethoprim,1200,400,0.5302643527453021,Pharmaceutical
sqc,trimethoprim,1500,400,-0.0326116686890216,Pharmaceutical
csq,CBC,300,1200,4.606999046268307,Cannabinoid
csq,CBC,600,400,3.1506938240353293,Cannabinoid
csq,CBC,900,400,-1.3354406175098532,Cannabinoid
csq,CBC,1200,400,-2.701353096399753,Cannabinoid
csq,CBC,1500,400,1.2377373883283127,Cannabinoid
csq,CBCA,300,1200,-1.0551885997611097,Cannabinoid
csq,CBCA,600,400,-0.5864139028319002,Cannabinoid
csq,CBCA,900,400,-1.2094178845998904,Cannabinoid
csq,CBCA,1200,400,-1.7059410516588969,Cannabinoid
csq,CBCA,1500,400,1.6505884386274443,Cannabinoid
csq,CBD,300,1200,1.3998544676328066,Cannabinoid
csq,CBD,600,400,0.983345037114141,Cannabinoid
csq,CBD,900,400,-1.1783749896212363,Cannabinoid
csq,CBD,1200,400,-2.023856189512543,Cannabinoid
csq,CBD,1500,400,2.3098750196466185,Cannabinoid
csq,CBDA,300,1200,1.2021952501611253,Cannabinoid
csq,CBDA,600,400,-6.765154819069807,Cannabinoid
csq,CBDA,900,400,-6.572553328328009,Cannabinoid
csq,CBDA,1200,400,1.3349197847110652,Cannabinoid
csq,CBDA,1500,400,0.2893822808686543,Cannabinoid
csq,CBDV,300,1200,-0.2898654634956088,Cannabinoid
csq,CBDV,600,400,1.4296988194430895,Cannabinoid
csq,CBDV,900,400,-2.708531805067331,Cannabinoid
csq,CBDV,1200,400,-0.5655617620846911,Cannabinoid
